date_reported,date_occurred,time_occurred,time_reported,case_number,location,incident,university
2018-10-08,2018-10-18,22:35,22:36,18mu07695,elmwood hall,criminal mischief (bias incident),Monmouth University
2018-10-12,2018-10-12,02:56,02:56,18mu07806,elmwood hall,pula w/alcohol/student misconduct,Monmouth University
2018-10-12,2018-10-12,09:45,11:32,18mu07818,parking lot 23,criminal mischief,Monmouth University
2018-10-15,2018-10-15,13:34,13:34,18mu07899,urban coastal inst storage,theft/criminal mischief,Monmouth University
2018-10-19,2018-10-19,02:00,02:00,18mu08001,north side,leaving the scene/obstructng justice,Monmouth University
2018-10-11,2018-10-11,18:20,18:20,18mu07786,university pedestrian underpass,theft (of umbrella),Monmouth University
2018-10-19,2018-10-19,17:00,17:32,18mu08022,bey hall,ciminal sexual contact,Monmouth University
2018-10-20,2018-10-20,02:04,02:04,18mu08037,elmwood hall,criminal mischief,Monmouth University
2018-10-20,2018-10-20,16:06,16:06,18mu08053,laurel hall,psula w/alcohol/student misconduct,Monmouth University
2018-10-23,2018-10-23,12:24,12:24,18mu08120,"norwood ave., long branch",theft (of condenser),Monmouth University
2018-10-23,2018-10-23,18:44,18:44,18mu08127,redwood hall,poss of marijuana/paraphernali/stud mis,Monmouth University
2018-10-24,2020-07-22,NA,09:18,18mu08155,redwood hall,sexual assault x 5 (statutory),Monmouth University
2018-10-26,2018-10-26,23:51,23:51,18mu08235,pinewood hall,domestic violence harassment/crim mis,Monmouth University
2018-10-27,2018-10-27,NA,03:50,18mu08239,laurel hall,criminal mischief,Monmouth University
2018-10-27,2018-10-27,13:00,13:00,18mu08251,long branch,student misconduct (theft in lb),Monmouth University
2018-10-28,2018-10-28,21:47,21:47,18mu08282,beechwood ave,robbery,Monmouth University
2018-10-30,2018-10-30,02:19,02:19,18mu08315,elmwood hall,pula w/alcohol/student misconduct,Monmouth University
2018-10-26,2018-10-26,08:30,08:30,18mu08210,area behind the softball field,illegal dumping,Monmouth University
2018-10-31,2018-10-31,16:36,16:36,18mu08360,hesse hall,theft,Monmouth University
2018-11-03,2018-11-03,23:46,23:46,18mu08480,elmwood hall,psula w/alcohol/student misconduct,Monmouth University
2018-11-04,2018-11-04,02:35,02:35,18mu08485,elmwood hall,pula w/alcohol/student misconduct,Monmouth University
2018-11-08,2018-11-08,01:01,01:01,18mu08608,elmwood hall,psula w/alcohol/student misconduct,Monmouth University
2018-11-08,2020-09-19,08:00,17:40,18mu08635,around campus,harassment/student misconduct,Monmouth University
2018-11-12,2018-11-12,10:30,10:30,18mu08744,pinewood hall,unlawful possession of a weapon,Monmouth University
2018-11-12,2018-11-12,23:55,23:55,18mu08766,pinewood hall,harassment,Monmouth University
2018-11-14,2018-11-13,NA,13:04,18mu08812,wilson hall,theft,Monmouth University
2018-11-16,2020-09-15,22:00,14:37,18mu08880,willow hall,sexual assault,Monmouth University
2018-11-27,2018-11-27,09:35,09:35,18mu09141,mullaney hall,harassment (cell phone),Monmouth University
2018-11-27,2018-11-27,10:51,10:51,18mu09142,willow hall,dv simple assault/student misconduct,Monmouth University
2018-11-29,2018-11-29,09:38,09:38,18mu09201,student center,theft,Monmouth University
2018-11-29,2018-11-28,11:30,09:59,18mu09203,lot 14,criminal mischief,Monmouth University
2018-12-01,2018-12-01,02:25,02:25,18mu09268,mullaney hall,pula w/alcohol/student misconduct,Monmouth University
2018-12-08,2018-12-08,01:48,01:48,18mu09458,elmwood hall,pula w/alcohol/student misconduct,Monmouth University
