incident,case_number,date_reported,time_reported,date_occurred,time_occurred,location,university
No Valid Driver's license,A0Y5MDP,2018-07-15,10:00,2018-07-15,10:00,UNF Dr @ Alumni Dr Citation Issued,University of North Florida
No Valid Driver's license,A0Y5MDP,2018-07-15,10:00,2018-07-15,10:00,UN,University of North Florida
Expired Driver's license,a0y5gdp,2018-07-14,12:55,2018-07-14,12:55,1 UNF Dr @ Lot 11 Citation Issued,University of North Florida
Criminal Mischief,2018-0142,2018-07-11,15:19,2018-07-09,12:00,Bldg. 51 Suspended,University of North Florida
Information,2018-0140,2018-07-02,14:55,2018-06-18,14:55,Unknown Closed,University of North Florida
Possess Marijuna &,2018-0139,2018-07-02,02:20,2018-07-02,02:20,Osprey Fountains Cleared by arrest,University of North Florida
Battery,2018-0129,2018-06-23,12:01,2018-06-15,16:45,Bldg. 34 Exceptionally,University of North Florida
Burglary,2018-0137,2018-06-22,15:40,2018-03-18,15:00,Bldg. 39A Suspended,University of North Florida
Petit Theft,2018-0136,2018-06-21,12:29,2018-06-18,14:00,Phys Fac Suspended,University of North Florida
Possess Cocaine,2018-0100,2018-06-20,10:07,2018-04-26,10:15,Bldg 12 Exceptionally,University of North Florida
Grand Theft- Bicycle,2018-0134,2018-06-19,22:05,2018-06-17,14:00,Lot 15 Suspended,University of North Florida
Battery,2018-0130,2018-06-16,01:25,2018-06-15,20:10,UNF Dr near I-295 Exceptionally,University of North Florida
Battery,2018-0129,2018-06-15,19:26,2018-06-15,16:45,Lot 34 Open,University of North Florida
Possess Drug,2018-0128,2018-06-14,16:30,2018-06-14,16:30,The Flats Cleared by arrest,University of North Florida
Burglary to Vehicle,2018-0125,2018-06-08,12:33,2018-06-05,08:00,Lot 100 Suspended,University of North Florida
Burglary to Vehicle,2018-0125,2018-06-05,14:42,2018-06-05,08:00,Lot 100 Suspended,University of North Florida
Burglary to Vehicle,2018-0124,2018-06-05,14:24,2018-06-05,09:20,Lot 100 Suspended,University of North Florida
Possess Marijuana,2018-123,2018-06-05,07:40,2018-06-05,11:14,Osprey Fountains Cleared by arrest,University of North Florida
Battery,2018-0120,2018-05-30,16:08,2018-05-30,14:00,Bldg. 34 Suspended,University of North Florida
Petit Theft,2018-0117,2018-05-26,12:31,2018-05-25,11:00,Bldg. 61 Suspended,University of North Florida
