incident,case_number,date_reported,time_reported,university,time_occurred,date_occurred,location
Theft from Vehicle                             ,2018-00014446,07-06-2018,2:00,Ball State University,NA,NA,NA
Assist Other Agency- Resisting Law Enforcement ,2018-00014458,07-06-2018,0:25,Ball State University,NA,NA,NA
Assist Other Agency- Burglary                  ,2018-00014468,07-07-2018,1:15,Ball State University,NA,NA,NA
Intoxicated Person                             ,2018-00014478,07-07-2018,3:46,Ball State University,NA,NA,NA
Intoxicated Driver                             ,2018-00014522,07-08-2018,2:07,Ball State University,NA,NA,NA
Theft- Bicycle                                 ,2018-00014547,07-08-2018,1:00,Ball State University,NA,NA,NA
Theft- Bicycle                                 ,2018-00014620,07-09-2018,6:35,Ball State University,NA,NA,NA
Driving While Suspended                        ,2018-00014621,07-09-2018,6:53,Ball State University,NA,NA,NA
Theft- Bicycle                                 ,2018-00014666,07-10-2018,7:00,Ball State University,NA,NA,NA
Intoxicated Driver                             ,2018-00014711,07-11-2018,3:20,Ball State University,NA,NA,NA
Intimidation                                   ,2018-00014751,07-11-2018,5:06,Ball State University,NA,NA,NA
Leaving Scene of Accident                      ,2018-00014822,07-12-2018,6:13,Ball State University,NA,NA,NA
Intoxicated Person                             ,2018-00014837,07-13-2018,0:11,Ball State University,NA,NA,NA
Assist Other Agency- Fight                     ,2018-00014918,07-14-2018,2:09,Ball State University,NA,NA,NA
Battery                                        ,2018-000014922,07-14-2018,2:59,Ball State University,NA,NA,NA
Theft                                          ,2018-00014949,07-14-2018,4:30,Ball State University,NA,NA,NA
Intoxicated Driver                             ,2018-00014970,07-15-2018,1:45,Ball State University,NA,NA,NA
Trespassing                                    ,2018-00015098,07-17-2018,1:40,Ball State University,NA,NA,NA
Assist Other Agency                            ,2018-00015128,07-17-2018,0:26,Ball State University,NA,NA,NA
Theft                                          ,2018-00015129,07-17-2018,9:30,Ball State University,NA,NA,NA
Rape                                           ,2018-00015141,07-17-2018,2:00,Ball State University,NA,NA,NA
Narcotics                                      ,2018-00015157,07-17-2018,1:18,Ball State University,NA,NA,NA
Theft                                          ,2018-00015204,07-18-2018,3:00,Ball State University,NA,NA,NA
Theft                                          ,2018-00015217,07-18-2018,0:00,Ball State University,NA,NA,NA
Habitual Traffic Violator                      ,2018-00015230,07-18-2018,0:27,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Driving While Suspended                  ,2018-00015251,07-19-2018,3:17,Ball State University,NA,NA,NA
Theft                                    ,2018-00015267,07-19-2018,4:00,Ball State University,NA,NA,NA
Theft                                    ,2018-00015289,07-19-2018,6:59,Ball State University,NA,NA,NA
Narcotics                                ,2018-00015376,07-21-2018,1:05,Ball State University,NA,NA,NA
Intoxicated Driver                       ,2018-00015383,07-21-2018,3:04,Ball State University,NA,NA,NA
Driving While Suspended                  ,2018-00015389,07-21-2018,4:11,Ball State University,NA,NA,NA
Battery                                  ,2018-00015441,07-22-2018,2:53,Ball State University,NA,NA,NA
Leaving Scene of Accident                ,2018-00015473,07-22-2018,6:05,Ball State University,NA,NA,NA
Theft                                    ,2018-00015479,07-22-2018,9:20,Ball State University,NA,NA,NA
Theft                                    ,2018-00015498,07-23-2018,7:00,Ball State University,NA,NA,NA
Trespassing                              ,2018-00015510,07-23-2018,0:26,Ball State University,NA,NA,NA
Assist Other Agency-Robbery              ,2018-00015551,07-24-2018,2:06,Ball State University,NA,NA,NA
Criminal Mischief                        ,2018-00015559,07-24-2018,7:39,Ball State University,NA,NA,NA
Driving While Suspended                  ,2018-00015608,07-25-2018,0:59,Ball State University,NA,NA,NA
Leaving Scene of Accident                ,2018-00015612,07-25-2018,2:04,Ball State University,NA,NA,NA
Criminal Mischief                        ,2018-00015628,07-25-2018,7:45,Ball State University,NA,NA,NA
Driving While Suspended                  ,2018-00015672,07-25-2018,9:40,Ball State University,NA,NA,NA
Assist Other Agency-Burglary             ,2018-00015704,07-26-2018,3:52,Ball State University,NA,NA,NA
Intoxicated Person                       ,2018-00015764,07-27-2018,3:01,Ball State University,NA,NA,NA
Assist Other Agency: Intoxicated Driver  ,2018-00015817,07-28-2018,2:24,Ball State University,NA,NA,NA
Assist Other Agency: Intoxicated Driver  ,2018-00015821,07-28-2018,3:44,Ball State University,NA,NA,NA
Theft                                    ,2018-00015839,07-28-2018,0:30,Ball State University,NA,NA,NA
Driving While Suspended                  ,2018-00015856,07-28-2018,9:47,Ball State University,NA,NA,NA
Driving While Suspended                  ,2018-00015867,07-29-2018,0:27,Ball State University,NA,NA,NA
Driving While Suspended                  ,2018-00015897,07-29-2018,1:19,Ball State University,NA,NA,NA
Narcotics-Traffic Stop                   ,2018-00016164,08-02-2018,0:38,Ball State University,NA,NA,NA
Intoxicated Driver                       ,2018-00016170,08-02-2018,2:15,Ball State University,NA,NA,NA
Theft                                    ,2018-00016194,08-02-2018,8:37,Ball State University,NA,NA,NA
Assist Other Agency                      ,2018-00016254,08-03-2018,1:48,Ball State University,NA,NA,NA
Suspended Driver                         ,2018-00016257,08-03-2018,2:39,Ball State University,NA,NA,NA
Suspended Driver                         ,2018-00016307,08-03-2018,6:52,Ball State University,NA,NA,NA
Suspended Driver                         ,2018-00016341,08-04-2018,4:32,Ball State University,NA,NA,NA
Intoxicated Driver                       ,2018-00016384,08-05-2018,1:23,Ball State University,NA,NA,NA
Trespassing                              ,2018-00016412,08-05-2018,1:49,Ball State University,NA,NA,NA
Intoxicated Driver                       ,2018-00016449,08-06-2018,0:24,Ball State University,NA,NA,NA
Leaving Scene of Accident                ,2018-00016588,08-07-2018,5:48,Ball State University,NA,NA,NA
Burglary                                 ,2018-00016569,08-08-2018,9:26,Ball State University,NA,NA,NA
Operating while never receiving license  ,2018-00016690,08-08-2018,6:16,Ball State University,NA,NA,NA
Operating while never receiving license  ,2018-00016706,08-08-2018,9:21,Ball State University,NA,NA,NA
Possession of paraphernalia              ,2018-00016785,08-09-2018,5:07,Ball State University,NA,NA,NA
Possession of paraphernalia              ,2018-00016829,08-10-2018,0:49,Ball State University,NA,NA,NA
Intoxicated Driver                       ,2018-00016915,08-11-2018,2:46,Ball State University,NA,NA,NA
Intoxicated Driver                       ,2018-00016980,08-12-2018,2:37,Ball State University,NA,NA,NA
Intoxicated Driver                       ,2018-00016984,08-12-2018,3:36,Ball State University,NA,NA,NA
Theft                                    ,2018-00017013,08-12-2018,2:53,Ball State University,NA,NA,NA
Narcotics                                ,2018-00017037,08-13-2018,2:25,Ball State University,NA,NA,NA
Robbery                                  ,2018-00017093,08-13-2018,1:00,Ball State University,NA,NA,NA
Suspended Driver                         ,2018-00017120,08-13-2018,1:22,Ball State University,NA,NA,NA
Intoxicated Driver                       ,2018-00017126,08-14-2018,0:52,Ball State University,NA,NA,NA
Leaving Scene of Accident                ,2018-00017163,08-14-2018,9:20,Ball State University,NA,NA,NA
Motor Vehicle Theft                      ,2018-00017208,08-14-2018,1:49,Ball State University,NA,NA,NA
Leaving Scene of Accident                ,2018-00017257,08-15-2018,4:48,Ball State University,NA,NA,NA
Theft                                    ,2018-00017272,08-15-2018,0:07,Ball State University,NA,NA,NA
Illegal possession of alcohol            ,2018-00017289,08-16-2018,1:17,Ball State University,NA,NA,NA
Rape                                     ,2018-00017293,08-16-2018,1:00,Ball State University,NA,NA,NA
Intoxicated Driver                       ,2018-00017387,08-17-2018,3:23,Ball State University,NA,NA,NA
Narcotics                                ,2018-00017480,08-17-2018,2:45,Ball State University,NA,NA,NA
Narcotics                                ,2018-00017481,08-17-2018,3:13,Ball State University,NA,NA,NA
Intoxicated Person                       ,2018-00017484,08-17-2018,3:37,Ball State University,NA,NA,NA
Intoxicated Driver                       ,2018-00017491,08-18-2018,0:48,Ball State University,NA,NA,NA
Assist Other Agency-Disorderly Conduct   ,2018-00017492,08-18-2018,0:49,Ball State University,NA,NA,NA
Criminal Mischief                        ,2018-00017497,08-18-2018,1:18,Ball State University,NA,NA,NA
Narcotics                                ,2018-00017499,08-18-2018,1:49,Ball State University,NA,NA,NA
Assist Other Agency - Intoxicated Driver ,2018-00017502,08-18-2018,3:06,Ball State University,NA,NA,NA
Theft                                    ,2018-00017522,08-18-2018,6:00,Ball State University,NA,NA,NA
Intoxicated Person                       ,2018-00017534,08-18-2018,0:22,Ball State University,NA,NA,NA
Battery                                  ,2018-00017554,08-18-2018,4:21,Ball State University,NA,NA,NA
Burglary                                 ,2018-00017557,08-18-2018,6:16,Ball State University,NA,NA,NA
Assist Other Agency-Disorderly Conduct   ,2018-00017587,08-18-2018,2:59,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Subject  ,2018-00017594,08-19-2018,0:15,Ball State University,NA,NA,NA
Leaving Scene of Accident                ,2018-00017596,08-19-2018,0:25,Ball State University,NA,NA,NA
Narcotics                                ,2018-00017597,08-19-2018,0:27,Ball State University,NA,NA,NA
Illegal possession of alcohol            ,2018-00017600,08-19-2018,0:57,Ball State University,NA,NA,NA
Intoxicated Person                       ,2018-00017603,08-19-2018,1:24,Ball State University,NA,NA,NA
Intoxicated Person                       ,2018-00017607,08-19-2018,2:07,Ball State University,NA,NA,NA
Narcotics                                ,2018-00017608,08-19-2018,2:20,Ball State University,NA,NA,NA
Driving While Suspended                  ,2018-00017638,08-19-2018,9:54,Ball State University,NA,NA,NA
Leaving Scene of Accident                ,2018-00017777,08-20-2018,5:33,Ball State University,NA,NA,NA
Intoxicated Person                       ,2018-00017815,08-21-2018,1:30,Ball State University,NA,NA,NA
Unlawful Entry to Vehicle                ,2018-00017893,08-21-2018,7:00,Ball State University,NA,NA,NA
Criminal Mischief                        ,2018-00017895,08-21-2018,7:51,Ball State University,NA,NA,NA
Intoxicated Driver                       ,2018-00017919,08-22-2018,2:34,Ball State University,NA,NA,NA
Theft-bicycle                            ,2018-00017972,08-22-2018,7:00,Ball State University,NA,NA,NA
Intoxicated Person                       ,2018-00018011,08-22-2018,2:47,Ball State University,NA,NA,NA
Intoxicated Driver                       ,2018-00018016,08-22-2018,3:44,Ball State University,NA,NA,NA
Narcotics                                ,2018-00018072,08-23-2018,1:45,Ball State University,NA,NA,NA
Narcotics                                ,2018-00018086,08-23-2018,5:00,Ball State University,NA,NA,NA
Theft                                    ,2018-00018092,08-23-2018,6:12,Ball State University,NA,NA,NA
Narcotics                                ,2018-00018117,08-23-2018,9:53,Ball State University,NA,NA,NA
Harassment                               ,2018-00018127,08-23-2018,2:55,Ball State University,NA,NA,NA
